id,date,timestamp,music genre,activity,mood before,mood after,sleep,notes (optional),,,,
1,2025-12-03,17:30:00,Hip-Hop/Rap,Read,2,4,9.5,,,,,
2,2025-12-03,17:30:00,Pop,Read,2,4,9.5,,,,,
3,2025-12-03,17:30:00,Rock,Read,2,4,9.5,,,,,
4,2025-12-03,17:30:00,OPM,Read,2,4,9.5,,,Mood levels:,,
5,2025-12-03,20:32:00,Pop,Rest,3,3,9.5,,,1,Very Negative,"sad, stressed, drained, anxious, low energy"
6,2025-12-03,21:15:00,Indie Pop,Read,3,4,9.5,,,2,Slightly Negative,"tired, unfocused, irritated, bored"
7,2025-12-03,22:00:00,Indie Pop,Code,4,4,9.5,,,3,Neutral,"okay, normal, happy / sad"
8,2025-12-03,23:26:00,Rock,Code,4,4,9.5,,,4,Slightly Positive,"good mood, calm, productive, lightly happy"
9,2025-12-04,8:11:00,EDM,Exercise,4,5,5.5,,,5,Very Positive,"very happy, excited, energetic, motivated, uplifted"
10,2025-12-04,9:50:00,Indie Pop,Rest,4,4,5.5,,,,,
11,2025-12-04,11:22:00,Indie Pop,Commute,4,4,5.5,,,,,
12,2025-12-04,15:18:00,Pop,Commute,4,4,5.5,,,Activities:,,
13,2025-12-04,15:18:00,OPM,Commute,4,4,5.5,,,Read,,
14,2025-12-04,15:18:00,R&B,Commute,4,4,5.5,,,Code,,
15,2025-12-04,15:18:00,Rock,Commute,4,4,5.5,,,Rest,,
16,2025-12-04,17:48:00,Indie Pop,Commute,3,2,5.5,,,Commute,,
17,2025-12-04,17:48:00,Pop,Commute,3,2,5.5,,,Exercise,,
18,2025-12-04,17:48:00,OPM,Commute,3,2,5.5,,,Clean,,
19,2025-12-04,17:48:00,R&B,Commute,3,2,5.5,,,Work,,
20,2025-12-04,17:48:00,Rock,Commute,3,2,5.5,,,Shower,,
21,2025-12-05,14:39:00,R&B,Shower,5,5,9,2000s Songs,,Prepare,,
22,2025-12-05,14:39:00,OPM,Shower,5,5,9,2000s Songs,,Walk,,
23,2025-12-05,14:39:00,Pop,Shower,5,5,9,2000s Songs,,,,
24,2025-12-05,14:54:00,R&B,Prepare,5,5,9,2000s Songs,,,,
25,2025-12-05,14:54:00,OPM,Prepare,5,5,9,2000s Songs,,,,
26,2025-12-05,14:54:00,Pop,Prepare,5,5,9,2000s Songs,,,,
27,2025-12-05,16:00:00,Pop,Commute,4,4,9,,,,,
28,2025-12-05,16:00:00,OPM,Commute,4,4,9,,,,,
29,2025-12-05,16:00:00,R&B,Commute,4,4,9,,,,,
30,2025-12-05,16:00:00,Rock,Commute,4,4,9,,,,,
31,2025-12-05,19:51:00,R&B,Commute,3,4,9,,,,,
32,2025-12-06,12:45:00,R&B,Commute,4,5,9.3,,,,,
33,2025-12-06,12:45:00,Pop,Commute,4,5,9.3,,,,,
34,2025-12-06,12:45:00,Rock,Commute,4,5,9.3,,,,,
