id,date,timestamp,music genre,activity,mood before,mood after,sleep,notes (optional),,,,
109,2025-12-16,12:55:00,Pop,Commute,3,4,5,,,,,
110,2025-12-16,21:35:00,Hip-Hop/Rap,Commute,3,2,5,,,,,
111,2025-12-17,8:45:00,Pop,Walk,3,3,5.2,Taylor Swift,,,,
112,2025-12-17,9:07:00,Pop,Rest,3,4,5.2,2016-2017 songs,,,,
113,2025-12-17,9:07:00,Rap,Rest,3,4,5.2,2016-2017 songs,,,,
114,2025-12-17,9:07:00,Hip-Hop/Rap,Rest,3,4,5.2,2016-2017 songs,,,,
115,2025-12-17,9:07:00,OPM,Rest,3,4,5.2,2016-2017 songs,,,,
116,2025-12-17,9:07:00,Rock,Rest,3,4,5.2,2016-2017 songs,,Mood levels:,,
117,2025-12-17,9:07:00,EDM,Rest,3,4,5.2,2016-2017 songs,,1,Very Negative,"sad, stressed, drained, anxious, low energy"
118,2025-12-17,12:27:00,Pop,Walk,4,3,5.2,One Direction,,2,Slightly Negative,"tired, unfocused, irritated, bored"
119,2025-12-17,13:14:00,OPM,Commute,3,4,5.2,,,3,Neutral,"okay, normal, happy / sad"
120,2025-12-17,13:45:00,OPM,Walk,2,3,5.2,,,4,Slightly Positive,"good mood, calm, productive, lightly happy"
121,2025-12-18,13:11:00,Pop,Commute,4,3,6.4,2016-2017 songs,,5,Very Positive,"very happy, excited, energetic, motivated, uplifted"
122,2025-12-18,13:11:00,OPM,Commute,4,3,6.4,2016-2017 songs,,,,
123,2025-12-18,13:11:00,EDM,Commute,4,3,6.4,2016-2017 songs,,,,
124,2025-12-18,13:11:00,Hip-Hop/Rap,Commute,4,3,6.4,2016-2017 songs,,Activities:,,
125,2025-12-18,13:11:00,Hip-Hop/Soul,Commute,4,3,6.4,2016-2017 songs,,Read,,
126,2025-12-18,13:11:00,Rock,Commute,4,3,6.4,2016-2017 songs,,Code,,
127,2025-12-18,13:11:00,Rap,Commute,4,3,6.4,2016-2017 songs,,Rest,,
128,2025-12-18,14:50:00,EDM,Walk,5,5,6.4,,,Commute,,
129,2025-12-18,14:50:00,Hip-Hop/Rap,Walk,5,5,6.4,,,Exercise,,
130,2025-12-18,14:50:00,Hip-Hop/Soul,Walk,5,5,6.4,,,Clean,,
131,2025-12-18,14:50:00,Rap,Walk,5,5,6.4,,,Work,,
132,2025-12-18,14:50:00,Rock,Walk,5,5,6.4,,,Shower,,
133,2025-12-19,19:09:00,Pop,Commute,2,3,5.5,2016-2017 songs,,Prepare,,
134,2025-12-19,19:09:00,OPM,Commute,2,3,5.5,2016-2017 songs,,Walk,,
135,2025-12-19,19:09:00,EDM,Commute,2,3,5.5,2016-2017 songs,,,,
136,2025-12-19,19:09:00,Hip-Hop/Rap,Commute,2,3,5.5,2016-2017 songs,,,,
137,2025-12-19,19:09:00,Hip-Hop/Soul,Commute,2,3,5.5,2016-2017 songs,,,,
138,2025-12-19,19:09:00,Rock,Commute,2,3,5.5,2016-2017 songs,,,,
139,2025-12-19,19:09:00,Rap,Commute,2,3,5.5,2016-2017 songs,,,,
140,2025-12-20,12:26:00,R&B,Clean,4,2,7.8,2000s songs,,,,
141,2025-12-20,12:26:00,OPM,Clean,4,2,7.8,2000s songs,,,,
142,2025-12-20,12:26:00,Pop,Clean,4,2,7.8,2000s songs,,,,
143,2025-12-20,12:26:00,Hip-Hop/Soul,Clean,4,2,7.8,2000s songs,,,,
144,2025-12-20,16:02:00,R&B,Commute,3,3,7.8,,,,,
145,2025-12-21,18:07:00,R&B,Commute,4,5,5.4,2000s songs,,,,
146,2025-12-21,18:07:00,OPM,Commute,4,5,5.4,2000s songs,,,,
147,2025-12-21,18:07:00,Pop,Commute,4,5,5.4,2000s songs,,,,
148,2025-12-21,18:07:00,Hip-Hop/Soul,Commute,4,5,5.4,2000s songs,,,,
149,2025-12-22,11:56:00,R&B,Commute,2,4,8.2,2000s songs,,,,
150,2025-12-22,11:56:00,OPM,Commute,2,4,8.2,2000s songs,,,,
151,2025-12-22,11:56:00,Pop,Commute,2,4,8.2,2000s songs,,,,
152,2025-12-22,11:56:00,Hip-Hop/Soul,Commute,2,4,8.2,2000s songs,,,,
153,2025-12-22,19:46:00,EDM,Exercise,4,5,8.2,,,,,
154,2025-12-22,19:46:00,Hip-Hop/Rap,Exercise,4,5,8.2,,,,,
155,2025-12-22,19:46:00,Hip-Hop/Soul,Exercise,4,5,8.2,,,,,
156,2025-12-22,19:46:00,Rap,Exercise,4,5,8.2,,,,,
157,2025-12-22,19:46:00,Rock,Exercise,4,5,8.2,,,,,
158,2025-12-22,21:06:00,Pop,Walk,5,5,8.2,Taylor Swift,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
