id,date,timestamp,music genre,activity,mood before,mood after,sleep,notes (optional)
457,2026-01-27,6:55:00,Pop,Commute,1,2,4.1,
458,2026-01-27,8:15:00,Indie Pop,Rest,2,2,4.1,
459,2026-01-27,8:15:00,Soft Pop,Rest,2,2,4.1,
460,2026-01-27,10:00:00,Pop,Walk,2,3,4.1,
461,2026-01-27,10:00:00,R&b,Walk,2,3,4.1,
462,2026-01-27,11:50:00,Pop,Commute,3,3,4.1,
463,2026-01-27,15:35:00,Rock,Play,2,3,4.1,
464,2026-01-27,15:35:00,EDM,Play,2,3,4.1,
465,2026-01-27,18:23:00,Rock,Play,3,3,4.1,
466,2026-01-27,18:23:00,EDM,Play,3,3,4.1,
467,2026-01-27,18:23:00,Hip-Hop,Play,3,3,4.1,
468,2026-01-28,7:55:00,Indie Pop,Read,1,2,3.7,
469,2026-01-28,7:55:00,Soft Pop,Read,1,2,3.7,
470,2026-01-28,8:50:00,R&B,Work,2,3,3.7,
471,2026-01-28,8:50:00,Pop,Work,2,3,3.7,
472,2026-01-28,8:50:00,EDM,Work,2,3,3.7,
473,2026-01-28,8:50:00,Rock,Work,2,3,3.7,
474,2026-01-28,23:22:00,EDM,Play,4,3,4.5,
475,2026-01-28,23:22:00,Rock,Play,4,3,4.5,
476,2026-01-28,23:22:00,Rap,Play,4,3,4.5,
477,2026-01-28,23:22:00,Hip-Hop,Play,4,3,4.5,
478,2026-01-29,1:21:00,R&B,Work,3,4,4.5,
479,2026-01-29,1:21:00,Rap,Work,3,4,4.5,
480,2026-01-29,1:21:00,Rock,Work,3,4,4.5,
481,2026-01-29,2:40:00,Soft Pop,Rest,3,2,4.5,
482,2026-01-29,2:40:00,Indie Pop,Rest,3,2,4.5,
483,2026-01-30,12:02:00,OPM,Commute,3,3,6.1,
484,2026-01-30,15:25:00,OPM,Commute,3,3,6.1,
485,2026-01-30,15:25:00,R&B,Commute,3,3,6.1,
486,2026-01-30,17:55:00,Rock,Play,4,3,6.1,
487,2026-01-30,17:55:00,Rap,Play,4,3,6.1,
488,2026-01-30,17:55:00,EDM,Play,4,3,6.1,
489,2026-01-30,19:25:00,Soft Pop,Read,3,4,6.1,
490,2026-01-30,19:25:00,Indie Pop,Read,3,4,6.1,
491,2026-01-30,0:57:00,Pop,Work,3,4,6.1,
492,2026-01-30,0:57:00,Rock,Work,3,4,6.1,
493,2026-01-30,0:57:00,R&B,Work,3,4,6.1,
494,2026-01-30,0:57:00,OPM,Work,3,4,6.1,
495,2026-01-30,2:49:00,Soft Pop,Rest,3,3,6.1,
496,2026-01-30,2:49:00,Indie Pop,Rest,3,3,6.1,
497,2026-01-30,2:49:00,OPM,Rest,3,3,6.1,
498,2026-01-30,20:06:00,Pop,Commute,4,4,7.1,
499,2026-01-30,20:06:00,R&B,Commute,4,4,7.1,
500,2026-01-31,14:07:00,Pop,Clean,2,3,7.6,
501,2026-01-31,14:07:00,OPM,Clean,2,3,7.6,
502,2026-01-31,23:45:00,Rock,Work,3,4,7.6,
503,2026-01-31,23:45:00,Rap-Rock,Work,3,4,7.6,
504,2026-02-01,0:17:00,Rock,Code,3,4,7.6,
505,2026-02-01,0:17:00,Rap-Rock,Code,3,4,7.6,
506,2026-02-01,0:17:00,EDM,Code,3,4,7.6,
507,2026-02-01,1:20:00,Soft Pop,Rest,1,3,7.6,
508,2026-02-01,1:20:00,Indie Pop,Rest,1,3,7.6,
509,2026-02-02,13:45:00,Pop,Commute,3,3,7.2,
510,2026-02-02,13:45:00,R&B,Commute,3,3,7.2,
511,2026-02-02,15:32:00,R&B,Walk,2,4,7.2,
512,2026-02-02,15:32:00,Rock,Walk,2,4,7.2,
513,2026-02-02,15:32:00,EDM,Walk,2,4,7.2,
514,2026-02-02,15:32:00,Pop,Walk,2,4,7.2,
515,2026-02-02,18:07:00,Pop,Commute,4,3,7.2,
516,2026-02-02,20:25:00,EDM,Play,4,5,7.2,
517,2026-02-02,20:25:00,Hip-Hop,Play,4,5,7.2,
518,2026-02-02,20:25:00,Hip-Hop/Soul,Play,4,5,7.2,
519,2026-02-02,20:25:00,Rock,Play,4,5,7.2,
