id,date,timestamp,music genre,activity,mood before,mood after,sleep,notes (optional),,,,
159,2025-12-23,11:55:00,Pop,Clean,2,2,7.6,2016-2017 songs,,,,
160,2025-12-23,11:55:00,OPM,Clean,2,2,7.6,2016-2017 songs,,,,
161,2025-12-23,11:55:00,EDM,Clean,2,2,7.6,2016-2017 songs,,,,
162,2025-12-23,11:55:00,Hip-Hop/Rap,Clean,2,2,7.6,2016-2017 songs,,,,
163,2025-12-23,11:55:00,Hip-Hop/Soul,Clean,2,2,7.6,2016-2017 songs,,,,
164,2025-12-23,11:55:00,Rock,Clean,2,2,7.6,2016-2017 songs,,,,
165,2025-12-23,11:55:00,Rap,Clean,2,2,7.6,2016-2017 songs,,,,
166,2025-12-23,12:10:00,Pop,Work,3,3,7.6,2016-2017 songs,,Mood levels:,,
167,2025-12-23,12:10:00,OPM,Work,3,3,7.6,2016-2017 songs,,1,Very Negative,"sad, stressed, drained, anxious, low energy"
168,2025-12-23,12:10:00,EDM,Work,3,3,7.6,2016-2017 songs,,2,Slightly Negative,"tired, unfocused, irritated, bored"
169,2025-12-23,12:10:00,Hip-Hop/Rap,Work,3,3,7.6,2016-2017 songs,,3,Neutral,"okay, normal, happy / sad"
170,2025-12-23,12:10:00,Hip-Hop/Soul,Work,3,3,7.6,2016-2017 songs,,4,Slightly Positive,"good mood, calm, productive, lightly happy"
171,2025-12-23,12:10:00,Rock,Work,3,3,7.6,2016-2017 songs,,5,Very Positive,"very happy, excited, energetic, motivated, uplifted"
172,2025-12-23,12:10:00,Rap,Work,3,3,7.6,2016-2017 songs,,,,
173,2025-12-23,20:05:00,EDM,Exercise,4,4,7.6,,,,,
174,2025-12-23,20:05:00,Hip-Hop/Rap,Exercise,4,4,7.6,,,Activities:,,
175,2025-12-23,20:05:00,Hip-Hop/Soul,Exercise,4,4,7.6,,,Read,,
176,2025-12-23,20:05:00,Rap,Exercise,4,4,7.6,,,Code,,
177,2025-12-23,20:05:00,Rock,Exercise,4,4,7.6,,,Rest,,
178,2025-12-24,12:05:00,EDM,Clean,3,4,6.4,2010-2012 songs,,Commute,,
179,2025-12-24,12:05:00,Pop,Clean,3,4,6.4,2010-2012 songs,,Exercise,,
180,2025-12-24,12:05:00,R&B,Clean,3,4,6.4,2010-2012 songs,,Clean,,
181,2025-12-24,12:05:00,Hip-Hop/Rap,Clean,3,4,6.4,2010-2012 songs,,Work,,
182,2025-12-24,13:37:00,Pop,Shower,2,3,6.4,Taylor Swift,,Shower,,
183,2025-12-24,13:47:00,Pop,Prepare,3,3,6.4,Taylor Swift,,Prepare,,
184,2025-12-24,15:01:00,Hip-Hop/Rap,Exercise,1,4,6.4,,,Walk,,
185,2025-12-24,15:01:00,Hip-Hop/Soul,Exercise,1,4,6.4,,,,,
186,2025-12-24,15:01:00,EDM,Exercise,1,4,6.4,,,,,
187,2025-12-24,15:01:00,Rock,Exercise,1,4,6.4,,,,,
188,2025-12-24,15:01:00,R&B,Exercise,1,4,6.4,,,,,
189,2025-12-25,17:13:00,Pop,Commute,5,5,5.5,One Direction,,,,
190,2025-12-25,22:07:00,Pop,Commute,5,5,5.5,Taylor Swift,,,,
191,2025-12-26,14:17:00,Rock,Rest,1,3,4.7,,,,,
192,2025-12-26,14:17:00,Hard Rock,Rest,1,3,4.7,,,,,
193,2025-12-26,15:30:00,Rock,Clean,1,3,4.7,,,,,
194,2025-12-26,15:30:00,Hard Rock,Clean,1,3,4.7,,,,,
195,2025-12-26,15:55:00,Rock,Shower,2,2,4.7,,,,,
196,2025-12-26,15:55:00,Hard Rock,Shower,2,2,4.7,,,,,
197,2025-12-26,16:01:00,Rock,Prepare,2,3,4.7,,,,,
198,2025-12-26,16:01:00,Hard Rock,Prepare,2,3,4.7,,,,,
199,2025-12-26,18:17:00,Rock,Exercise,1,2,4.7,,,,,
200,2025-12-27,13:21:00,Rock,Commute,1,3,10.4,,,,,
201,2025-12-27,15:11:00,R&B,Commute,3,3,10.4,,,,,
202,2025-12-27,16:18:00,R&B,Commute,2,3,10.4,2000s songs,,,,
203,2025-12-27,16:18:00,OPM,Commute,2,3,10.4,2000s songs,,,,
204,2025-12-27,16:18:00,Pop,Commute,2,3,10.4,2000s songs,,,,
205,2025-12-27,16:18:00,Hip-Hop/Soul,Commute,2,3,10.4,2000s songs,,,,
206,2025-12-27,16:18:00,R&B,Commute,2,3,10.4,2000s songs,,,,
207,2025-12-27,16:18:00,OPM,Commute,2,3,10.4,2000s songs,,,,
208,2025-12-27,16:18:00,Pop,Commute,2,3,10.4,2000s songs,,,,
209,2025-12-27,16:18:00,Hip-Hop/Soul,Commute,2,3,10.4,2000s songs,,,,
210,2025-12-28,16:38:00,Pop,Walk,2,4,6.4,,,,,
211,2025-12-28,16:38:00,Hip-Hop/Soul,Walk,2,4,6.4,,,,,
212,2025-12-28,16:38:00,Rock,Walk,2,4,6.4,,,,,
213,2025-12-28,16:38:00,EDM,Walk,2,4,6.4,,,,,
214,2025-12-28,16:38:00,OPM,Walk,2,4,6.4,,,,,
215,2025-12-29,14:10:00,OPM,Clean,2,2,8.4,,,,,
216,2025-12-29,11:20:00,Indie Pop,Rest,1,2,8.4,,,,,
217,2025-12-29,11:20:00,Pop,Rest,1,2,8.4,,,,,
218,2025-12-29,11:20:00,OPM,Rest,1,2,8.4,,,,,
219,2025-12-29,11:20:00,R&B,Rest,1,2,8.4,,,,,
220,2025-12-29,11:20:00,Soft Pop,Rest,1,2,8.4,,,,,
