id,date,timestamp,music genre,activity,mood before,mood after,sleep,notes (optional),,,,
221,2025-12-30,18:00:00,Pop,Shower,2,2,7.5,,,,,
222,2025-12-30,18:00:00,Hip-Hop/Soul,Shower,2,2,7.5,,,,,
223,2025-12-30,18:00:00,Rock,Shower,2,2,7.5,,,,,
224,2025-12-30,18:00:00,EDM,Shower,2,2,7.5,,,,,
225,2025-12-30,18:00:00,OPM,Shower,2,2,7.5,,,,,
226,2025-12-30,18:15:00,Pop,Prepare,2,2,7.5,,,,,
227,2025-12-30,18:15:00,Hip-Hop/Soul,Prepare,2,2,7.5,,,,,
228,2025-12-30,18:15:00,Rock,Prepare,2,2,7.5,,,Mood levels:,,
229,2025-12-30,18:15:00,EDM,Prepare,2,2,7.5,,,1,Very Negative,"sad, stressed, drained, anxious, low energy"
230,2025-12-30,18:15:00,OPM,Prepare,2,2,7.5,,,2,Slightly Negative,"tired, unfocused, irritated, bored"
231,2025-12-30,20:19:00,Pop,Commute,2,3,7.5,,,3,Neutral,"okay, normal, happy / sad"
232,2025-12-30,20:19:00,OPM,Commute,2,3,7.5,,,4,Slightly Positive,"good mood, calm, productive, lightly happy"
233,2025-12-30,20:19:00,R&B,Commute,2,3,7.5,,,5,Very Positive,"very happy, excited, energetic, motivated, uplifted"
234,2025-12-30,20:19:00,Rock,Commute,2,3,7.5,,,,,
235,2025-12-31,14:50:00,Pop,Commute,2,3,3.2,,,,,
236,2025-12-31,14:50:00,OPM,Commute,2,3,3.2,,,Activities:,,
237,2025-12-31,14:50:00,R&B,Commute,2,3,3.2,,,Read,,
238,2025-12-31,14:50:00,Rock,Commute,2,3,3.2,,,Code,,
239,2025-12-31,21:55:00,Rock,Clean,3,4,3.2,2000s songs,,Rest,,
240,2025-12-31,21:55:00,R&B,Clean,3,4,3.2,2000s songs,,Commute,,
241,2025-12-31,21:55:00,Pop,Clean,3,4,3.2,2000s songs,,Exercise,,
242,2026-01-01,21:10:00,EDM,Work,2,3,6.2,2010-2012 songs,,Clean,,
243,2026-01-01,21:10:00,Pop,Work,2,3,6.2,2010-2012 songs,,Work,,
244,2026-01-01,21:10:00,R&B,Work,2,3,6.2,2010-2012 songs,,Shower,,
245,2026-01-01,21:10:00,Hip-Hop/Rap,Work,2,3,6.2,2010-2012 songs,,Prepare,,
246,2026-01-01,23:11:00,EDM,Play,4,4,6.2,,,Walk,,
247,2026-01-02,13:14:00,Indie Pop,Rest,3,3,7.8,,,Play,,
248,2026-01-02,13:14:00,Soft Pop,Rest,3,3,7.8,,,,,
249,2026-01-02,14:48:00,Indie Pop,Work,4,4,7.8,,,,,
250,2026-01-02,14:48:00,Soft Pop,Work,4,4,7.8,,,,,
251,2026-01-03,5:45:00,Indie Pop,Commute,2,3,2.1,,,,,
252,2026-01-03,5:45:00,Soft Pop,Commute,2,3,2.1,,,,,
253,2026-01-03,9:20:00,OPM,Walk,3,4,2.1,,,,,
254,2026-01-03,17:56:00,Pop,Commute,2,3,2.1,2016-2017 songs,,,,
255,2026-01-03,17:56:00,OPM,Commute,2,3,2.1,2016-2017 songs,,,,
256,2026-01-03,17:56:00,EDM,Commute,2,3,2.1,2016-2017 songs,,,,
257,2026-01-03,17:56:00,Hip-Hop/Rap,Commute,2,3,2.1,2016-2017 songs,,,,
258,2026-01-03,17:56:00,Hip-Hop/Soul,Commute,2,3,2.1,2016-2017 songs,,,,
259,2026-01-03,17:56:00,Rock,Commute,2,3,2.1,2016-2017 songs,,,,
260,2026-01-03,17:56:00,Rap,Commute,2,3,2.1,2016-2017 songs,,,,
261,2026-01-04,16:56:00,Rock,Commute,5,5,9.2,,,,,
262,2026-01-04,16:56:00,Pop,Commute,5,5,9.2,,,,,
263,2026-01-04,16:56:00,OPM,Commute,5,5,9.2,,,,,
264,2026-01-04,16:56:00,R&B,Commute,5,5,9.2,,,,,
265,2026-01-04,22:35:00,Rock,Commute,5,5,9.2,,,,,
266,2026-01-04,23:35:00,Pop,Commute,5,5,9.2,,,,,
267,2026-01-04,23:35:00,OPM,Commute,5,5,9.2,,,,,
268,2026-01-04,23:35:00,R&B,Commute,5,5,9.2,,,,,
269,2026-01-04,23:23:00,Pop,Play,5,5,9.2,2016-2017 songs,,,,
270,2026-01-04,23:23:00,OPM,Play,5,5,9.2,2016-2017 songs,,,,
271,2026-01-04,23:23:00,EDM,Play,5,5,9.2,2016-2017 songs,,,,
272,2026-01-04,23:23:00,Hip-Hop/Rap,Play,5,5,9.2,2016-2017 songs,,,,
273,2026-01-04,23:23:00,Hip-Hop/Soul,Play,5,5,9.2,2016-2017 songs,,,,
274,2026-01-04,23:23:00,Rock,Play,5,5,9.2,2016-2017 songs,,,,
275,2026-01-04,23:23:00,Rap,Play,5,5,9.2,2016-2017 songs,,,,
276,2026-01-05,12:32:00,R&B,Clean,3,4,5.5,2000s songs,,,,
277,2026-01-05,12:32:00,Rock,Clean,3,4,5.5,2000s songs,,,,
278,2026-01-05,12:32:00,Pop,Clean,3,4,5.5,2000s songs,,,,
279,2026-01-05,16:43:00,Indie Pop,Work,4,4,5.5,,,,,
280,2026-01-05,16:43:00,Soft Pop,Work,4,4,5.5,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
