id,date,timestamp,music genre,activity,mood before,mood after,sleep,notes (optional)
281,2026-01-05,23:58:00,Soft Pop,Rest,3,4,5.5,
282,2026-01-05,23:58:00,Indie Pop,Rest,3,4,5.5,
283,2026-01-06,16:08:00,Pop,Commute,3,3,8,
284,2026-01-06,16:08:00,R&B,Commute,3,3,8,
285,2026-01-06,16:08:00,Rock,Commute,3,3,8,
286,2026-01-06,16:08:00,OPM,Commute,3,3,8,
287,2026-01-06,21:12:00,Pop,Commute,3,3,8,
288,2026-01-06,21:12:00,R&B,Commute,3,3,8,
289,2026-01-06,21:12:00,Rock,Commute,3,3,8,
290,2026-01-06,21:12:00,OPM,Commute,3,3,8,
291,2026-01-06,23:56:00,Indie Pop,Rest,2,3,8,
292,2026-01-06,23:56:00,Soft Pop,Rest,2,3,8,
293,2026-01-07,12:30:00,Indie Pop,Rest,2,3,8.2,
294,2026-01-07,12:30:00,Soft Pop,Rest,2,3,8.2,
295,2026-01-07,13:07:00,Pop,Clean,3,2,8.2,Taylor Swift
296,2026-01-07,15:24:00,Pop,Commute,3,3,8.2,
297,2026-01-07,15:24:00,R&B,Commute,3,3,8.2,
298,2026-01-07,15:24:00,Rock,Commute,3,3,8.2,
299,2026-01-07,15:24:00,OPM,Commute,3,3,8.2,
300,2026-01-07,16:44:00,R&B,Walk,2,3,8.2,
301,2026-01-07,21:49:00,Indie Pop,Work,2,4,8.2,
302,2026-01-07,21:49:00,Soft Pop,Work,2,4,8.2,
303,2026-01-08,8:38:00,EDM,Exercise,4,4,5.2,
304,2026-01-08,11:26:00,Hip-Hop/Rap,Prepare,3,4,5.2,
305,2026-01-08,11:26:00,Hip-Hop/Soul,Prepare,3,4,5.2,
306,2026-01-08,11:26:00,EDM,Prepare,3,4,5.2,
307,2026-01-08,11:26:00,R&B,Prepare,3,4,5.2,
308,2026-01-08,11:26:00,Rap,Prepare,3,4,5.2,
309,2026-01-08,11:26:00,Rock,Prepare,3,4,5.2,
310,2026-01-08,12:04:00,OPM,Commute,4,3,5.2,
311,2026-01-08,14:07:00,Indie Pop,Read,3,3,5.2,
312,2026-01-08,14:07:00,Soft Pop,Read,3,3,5.2,
313,2026-01-08,17:50:00,Pop,Rest,2,3,5.2,2000 Songs
314,2026-01-08,17:50:00,Rock,Rest,2,3,5.2,2000 Songs
315,2026-01-08,17:50:00,R&B,Rest,2,3,5.2,2000 Songs
316,2026-01-08,20:20:00,Rap,Code,1,4,5.2,
