id,date,timestamp,music genre,activity,mood before,mood after,sleep,notes (optional)
370,2026-01-13,19:55:00,Rock,Commute,1,2,8.3,Linkin Park
371,2026-01-14,0:46:00,Indie,Rest,1,2,8.3,
372,2026-01-14,0:46:00,Soft Pop,Rest,1,2,8.3,
373,2026-01-14,0:46:00,Pop Rock,Rest,1,2,8.3,
374,2026-01-14,17:52:00,EDM,Exercise,1,3,5.2,
375,2026-01-14,17:52:00,Rock,Exercise,1,3,5.2,
376,2026-01-14,17:52:00,Rap,Exercise,1,3,5.2,
377,2026-01-14,17:52:00,Hip-Hop,Exercise,1,3,5.2,
378,2026-01-14,22:18:00,Rock,Work,2,2,5.2,
379,2026-01-15,1:54:00,Soft Pop,Rest,3,3,5.2,
380,2026-01-15,1:54:00,Indie Pop,Rest,3,3,5.2,
381,2026-01-15,12:03:00,Pop,Clean,3,3,5.2,One Direction
382,2026-01-15,17:10:00,EDM,Exercise,3,2,5.2,
383,2026-01-15,17:10:00,Rock,Exercise,3,2,5.2,
384,2026-01-15,17:10:00,Hip-Hop,Exercise,3,2,5.2,
385,2026-01-15,17:10:00,Rap,Exercise,3,2,5.2,
386,2026-01-15,2:20:00,Indie Pop,Rest,2,2,5.2,
387,2026-01-15,2:20:00,Soft Pop,Rest,2,2,5.2,
388,2026-01-16,14:19:00,EDM,Walk,4,4,8.1,2016-2017 songs
389,2026-01-16,21:15:00,EDM,Commute,5,5,8.1,2016-2017 songs
390,2026-01-16,22:03:00,EDM,Clean,5,5,8.1,2016-2017 songs
391,2026-01-16,23:51:00,Indie Pop,Rest,4,4,8.1,
392,2026-01-16,23:51:00,Soft Pop,Rest,4,4,8.1,
393,2026-01-17,13:35:00,EDM,Clean,3,4,7.1,2016-2017 songs
394,2026-01-17,20:57:00,EDM,Play,4,4,7.1,2016-2017 songs
395,2026-01-17,20:57:00,Rock,Play,4,4,7.1,2016-2017 songs
396,2026-01-17,20:57:00,Pop,Play,4,4,7.1,2016-2017 songs
397,2026-01-18,14:35:00,Pop,Work,3,4,7.8,2016-2017 songs
398,2026-01-18,14:35:00,EDM,Work,3,4,7.8,2016-2017 songs
399,2026-01-18,14:35:00,Rock,Work,3,4,7.8,2016-2017 songs
400,2026-01-18,17:46:00,Pop,Commute,4,4,7.8,One Direction
401,2026-01-19,14:25:00,Pop,Commute,3,4,6.2,2016-2017 songs
402,2026-01-19,16:02:00,Pop,Commute,4,4,6.2,2016-2017 songs
403,2026-01-19,16:02:00,EDM,Commute,4,4,6.2,2016-2017 songs
404,2026-01-19,16:02:00,Rock,Commute,4,4,6.2,2016-2017 songs
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
