id,date,timestamp,music genre,activity,mood before,mood after,sleep,notes (optional)
520,2026-02-03,0:08:00,EDM,Play,4,5,7.2,
521,2026-02-03,0:08:00,Hip-Hop,Play,4,5,7.2,
522,2026-02-03,0:08:00,Hip-Hop/Soul,Play,4,5,7.2,
523,2026-02-03,0:08:00,Rock,Play,4,5,7.2,
524,2026-02-03,1:48:00,Soft Pop,Rest,2,2,7.2,
525,2026-02-03,1:48:00,Indie Pop,Rest,2,2,7.2,
526,2026-02-03,3:00:00,Soft Pop,Rest,1,2,7.2,
527,2026-02-03,3:00:00,Indie Pop,Rest,1,2,7.2,
528,2026-02-03,12:30:00,Rock,Commute,1,2,4.8,
529,2026-02-03,12:30:00,Pop,Commute,1,2,4.8,One Direction
530,2026-02-03,13:15:00,Rock,Walk,1,1,4.8,
531,2026-02-03,14:30:00,Rock,Commute,1,1,4.8,
532,2026-02-03,14:30:00,Pop,Commute,1,1,4.8,
533,2026-02-03,15:15:00,Rock,Walk,1,1,4.8,
534,2026-02-03,17:44:00,Rock,Commute,1,1,4.8,
535,2026-02-03,17:44:00,Pop,Commute,1,1,4.8,
536,2026-02-03,20:26:00,Rock,Rest,1,2,4.8,Linkin Park
537,2026-02-03,23:16:00,Pop,Play,1,2,4.8,
538,2026-02-03,23:16:00,R&B,Play,1,2,4.8,
539,2026-02-03,23:16:00,Rock,Play,1,2,4.8,
540,2026-02-03,23:16:00,Pop,Work,2,3,4.8,
541,2026-02-03,23:16:00,R&B,Work,2,3,4.8,
542,2026-02-04,0:15:00,Pop,Work,2,3,4.8,
543,2026-02-04,0:15:00,R&B,Work,2,3,4.8,
544,2026-02-04,0:15:00,Rock,Work,2,3,4.8,
545,2026-02-04,17:45:00,EDM,Exercise,3,4,7.8,
546,2026-02-04,17:45:00,Rock,Exercise,3,4,7.8,
547,2026-02-04,17:45:00,Hip-Hop,Exercise,3,4,7.8,
548,2026-02-04,17:45:00,Rap,Exercise,3,4,7.8,
549,2026-02-04,23:10:00,Rock,Play,1,3,7.8,Linkin Park
550,2026-02-05,0:22:00,Pop,Work,2,2,7.8,
551,2026-02-05,0:22:00,Rock,Work,2,2,7.8,
552,2026-02-05,0:22:00,R&B,Work,2,2,7.8,
553,2026-02-05,0:22:00,Pop,Code,2,2,7.8,
554,2026-02-05,0:22:00,Rock,Code,2,2,7.8,
555,2026-02-05,0:22:00,R&B,Code,2,2,7.8,
556,2026-02-05,1:24:00,Soft Pop,Rest,2,2,7.8,Taylor Swift
557,2026-02-05,1:24:00,Indie Pop,Rest,2,2,7.8,Taylor Swift
558,2026-02-05,12:34:00,Pop,Commute,3,4,7.6,
559,2026-02-05,12:34:00,R&B,Commute,3,4,7.6,Zayn Malik
560,2026-02-05,16:44:00,Pop,Rest,3,3,7.6,
561,2026-02-05,16:44:00,R&B,Rest,3,3,7.6,
562,2026-02-05,18:52:00,Pop,Commute,3,3,7.6,
563,2026-02-05,18:52:00,R&B,Commute,3,3,7.6,
564,2026-02-05,21:05:00,Pop,Work,3,4,7.6,
565,2026-02-05,21:05:00,Rock,Work,3,4,7.6,
566,2026-02-05,21:05:00,R&B,Work,3,4,7.6,
567,2026-02-05,21:05:00,Pop,Code,3,4,7.6,
568,2026-02-05,21:05:00,Rock,Code,3,4,7.6,
569,2026-02-05,21:05:00,R&B,Code,3,4,7.6,
570,2026-02-06,15:54:00,Pop,Commute,4,4,9,
571,2026-02-06,15:54:00,OPM,Commute,4,4,9,
572,2026-02-07,10:45:00,Pop,Commute,1,2,5,
573,2026-02-07,10:45:00,R&B,Commute,1,2,5,
574,2026-02-07,12:10:00,Pop,Walk,1,2,5,
575,2026-02-07,12:10:00,EDM,Walk,1,2,5,
576,2026-02-07,12:10:00,Rock,Walk,1,2,5,
577,2026-02-07,12:10:00,R&B,Walk,1,2,5,
578,2026-02-07,13:54:00,Pop,Commute,2,3,5,
579,2026-02-07,13:54:00,OPM,Commute,2,3,5,
580,2026-02-07,17:45:00,OPM,Work,2,3,7,
581,2026-02-07,17:45:00,R&B,Work,2,3,7,
582,2026-02-07,18:10:00,Rock,Code,2,4,7,
583,2026-02-07,18:10:00,Hip-Hop/Soul,Code,2,4,7,
584,2026-02-07,18:54:00,Soft Pop,Rest,3,3,7,
585,2026-02-07,18:54:00,Indie Pop,Rest,3,3,7,
586,2026-02-07,19:30:00,OPM,Work,3,3,7,
587,2026-02-07,19:30:00,Hip-Hop/Soul,Work,3,3,7,
588,2026-02-07,19:30:00,R&B,Work,3,3,7,
